term	morpheme	type
common	co-	prefix
contact	co-	prefix
compare	co-	prefix
contract	co-	prefix
competition	co-	prefix
complex	co-	prefix
context	co-	prefix
contribute	co-	prefix
combine	co-	prefix
colleague	co-	prefix
concert	co-	prefix
compete	co-	prefix
confuse	co-	prefix
contemporary	co-	prefix
compound	co-	prefix
correspond	co-	prefix
compromise	co-	prefix
contest	co-	prefix
compose	co-	prefix
cooperation	co-	prefix
composition	co-	prefix
confusion	co-	prefix
comprise	co-	prefix
describe	de-	prefix
decline	de-	prefix
decrease	de-	prefix
deposit	de-	prefix
depress	de-	prefix
disease	dis-	prefix
discover	dis-	prefix
discount	dis-	prefix
disappear	dis-	prefix
distribute	dis-	prefix
disorder	dis-	prefix
dismiss	dis-	prefix
disagree	dis-	prefix
distant	dis-	prefix
enjoy	en-	prefix
encourage	en-	prefix
ensure	en-	prefix
enable	en-	prefix
entitle	en-	prefix
explain	ex-	prefix
express	ex-	prefix
extend	ex-	prefix
exchange	ex-	prefix
expensive	ex-	prefix
extent	ex-	prefix
expense	ex-	prefix
export	ex-	prefix
expose	ex-	prefix
extension	ex-	prefix
extract	ex-	prefix
forecast	fore-	prefix
independent	in-	prefix
impossible	in-	prefix
immediate	in-	prefix
independence	in-	prefix
illegal	in-	prefix
international	inter-	prefix
interview	inter-	prefix
interaction	inter-	prefix
mistake	mis-	prefix
overall	over-	prefix
overcome	over-	prefix
overseas	over-	prefix
prepare	pre-	prefix
prefer	pre-	prefix
prevent	pre-	prefix
premise	pre-	prefix
preference	pre-	prefix
program	pro-	prefix
product	pro-	prefix
produce	pro-	prefix
propose	pro-	prefix
progress	pro-	prefix
promote	pro-	prefix
promotion	pro-	prefix
report	re-	prefix
return	re-	prefix
record	re-	prefix
remember	re-	prefix
research	re-	prefix
represent	re-	prefix
review	re-	prefix
replace	re-	prefix
reply	re-	prefix
reform	re-	prefix
reaction	re-	prefix
repeat	re-	prefix
recall	re-	prefix
remind	re-	prefix
recover	re-	prefix
researcher	re-	prefix
reserve	re-	prefix
reporter	re-	prefix
recognition	re-	prefix
representation	re-	prefix
restore	re-	prefix
